Iterations,Accuracy (%),Attack,Aggregator,Optimizer,seed,LR
150,55.45873397435897,LF,RFA,Byz-NSGDM,0,0.01
180,59.43509615384615,LF,RFA,Byz-NSGDM,0,0.01
210,62.71033653846154,LF,RFA,Byz-NSGDM,0,0.01
240,64.20272435897436,LF,RFA,Byz-NSGDM,0,0.01
270,64.29286858974359,LF,RFA,Byz-NSGDM,0,0.01
300,63.19110576923077,LF,RFA,Byz-NSGDM,0,0.01
330,62.009214743589745,LF,RFA,Byz-NSGDM,0,0.01
360,61.16786858974359,LF,RFA,Byz-NSGDM,0,0.01
390,60.56690705128205,LF,RFA,Byz-NSGDM,0,0.01
420,60.14623397435897,LF,RFA,Byz-NSGDM,0,0.01
450,59.90584935897436,LF,RFA,Byz-NSGDM,0,0.01
480,59.845753205128204,LF,RFA,Byz-NSGDM,0,0.01
510,59.845753205128204,LF,RFA,Byz-NSGDM,0,0.01
540,59.93589743589744,LF,RFA,Byz-NSGDM,0,0.01
570,60.026041666666664,LF,RFA,Byz-NSGDM,0,0.01
600,60.18629807692308,LF,RFA,Byz-NSGDM,0,0.01
630,60.37660256410256,LF,RFA,Byz-NSGDM,0,0.01
660,60.51682692307692,LF,RFA,Byz-NSGDM,0,0.01
690,60.647035256410255,LF,RFA,Byz-NSGDM,0,0.01
720,60.78725961538461,LF,RFA,Byz-NSGDM,0,0.01
750,60.9775641025641,LF,RFA,Byz-NSGDM,0,0.01
780,61.25801282051282,LF,RFA,Byz-NSGDM,0,0.01
810,61.49839743589744,LF,RFA,Byz-NSGDM,0,0.01
840,61.85897435897436,LF,RFA,Byz-NSGDM,0,0.01
870,62.029246794871796,LF,RFA,Byz-NSGDM,0,0.01
900,62.25961538461539,LF,RFA,Byz-NSGDM,0,0.01
930,62.4599358974359,LF,RFA,Byz-NSGDM,0,0.01
960,62.66025641025641,LF,RFA,Byz-NSGDM,0,0.01
990,62.82051282051282,LF,RFA,Byz-NSGDM,0,0.01
1020,63.01081730769231,LF,RFA,Byz-NSGDM,0,0.01
1050,63.22115384615385,LF,RFA,Byz-NSGDM,0,0.01
1080,63.42147435897436,LF,RFA,Byz-NSGDM,0,0.01
1110,63.6318108974359,LF,RFA,Byz-NSGDM,0,0.01
1140,63.85216346153846,LF,RFA,Byz-NSGDM,0,0.01
1170,64.03245192307692,LF,RFA,Byz-NSGDM,0,0.01
1200,64.32291666666667,LF,RFA,Byz-NSGDM,0,0.01
1230,64.453125,LF,RFA,Byz-NSGDM,0,0.01
1260,64.62339743589743,LF,RFA,Byz-NSGDM,0,0.01
1290,64.8036858974359,LF,RFA,Byz-NSGDM,0,0.01
1320,64.98397435897436,LF,RFA,Byz-NSGDM,0,0.01
1350,65.1542467948718,LF,RFA,Byz-NSGDM,0,0.01
1380,65.32451923076923,LF,RFA,Byz-NSGDM,0,0.01
1410,65.44471153846153,LF,RFA,Byz-NSGDM,0,0.01
1440,65.5849358974359,LF,RFA,Byz-NSGDM,0,0.01
1470,65.72516025641026,LF,RFA,Byz-NSGDM,0,0.01
1500,65.83533653846153,LF,RFA,Byz-NSGDM,0,0.01
30,64.4931891025641,mimic,CM,Baseline,0,0.005
60,85.53685897435898,mimic,CM,Baseline,0,0.005
90,87.80048076923077,mimic,CM,Baseline,0,0.005
120,90.14423076923077,mimic,CM,Baseline,0,0.005
150,91.08573717948718,mimic,CM,Baseline,0,0.005
180,92.16746794871794,mimic,CM,Baseline,0,0.005
210,92.578125,mimic,CM,Baseline,0,0.005
240,92.72836538461539,mimic,CM,Baseline,0,0.005
270,93.86017628205128,mimic,CM,Baseline,0,0.005
300,93.81009615384616,mimic,CM,Baseline,0,0.005
330,94.59134615384616,mimic,CM,Baseline,0,0.005
