Momentum,LR,Final Accuracy Mean,Final Accuracy Std
0.0,0.001,20.142227564102566,3.430675206660143
0.0,0.005,53.81944444444445,3.317049015537421
0.0,0.01,56.85096153846154,1.4499386361536566
0.0,0.05,74.95659722222223,2.223610328456081
0.0,0.1,75.53418803418803,2.600163600227664
0.0,0.5,67.81183226495727,1.1824143461507164
0.3,0.001,21.167200854700855,3.5769180135612513
0.3,0.005,54.84107905982906,4.525873195936379
0.3,0.01,57.3684561965812,1.524290807279869
0.3,0.05,75.15024038461539,0.1673006118638839
0.3,0.1,75.56089743589745,0.30313994291710056
0.3,0.5,67.26428952991454,5.297997883946643
0.5,0.001,21.34415064102564,3.589330516705669
0.5,0.005,55.124866452991455,4.565817492169202
0.5,0.01,57.74906517094016,1.579433347174433
0.5,0.05,77.86124465811966,0.3713141227373658
0.5,0.1,79.19671474358974,0.2575112205966051
0.5,0.5,69.29754273504274,4.447299609499409
0.7,0.001,21.300747863247864,3.6243945230448924
0.7,0.005,55.26509081196581,4.1245761714125555
0.7,0.01,58.400106837606835,1.6392147310036569
0.7,0.05,80.25841346153845,0.3346012237277621
0.7,0.1,82.06463675213676,0.1609850888253352
0.7,0.5,73.52430555555556,7.25319563812896
0.9,0.001,21.09375,3.4225948210021024
0.9,0.005,54.61738782051282,2.916590307229872
0.9,0.01,59.61204594017094,2.2705765329851
0.9,0.05,82.04794337606837,0.3407412078571891
0.9,0.1,85.06944444444444,0.10279650319405023
0.9,0.5,81.44364316239317,5.235482408181221
0.95,0.001,21.020299145299145,3.4548949235821413
0.95,0.005,54.25681089743589,2.4735933500104434
0.95,0.01,60.46006944444445,3.5973059583355624
0.95,0.05,82.50868055555556,0.4608823164192711
0.95,0.1,85.69377670940172,0.22042843002462656
0.95,0.5,84.6454326923077,0.570913461538467
0.99,0.001,20.733173076923077,3.43501494060451
0.99,0.005,52.51736111111111,0.7658385336229996
0.99,0.01,61.10777243589744,4.548102880673247
0.99,0.05,80.10817307692308,1.4775929445256348
0.99,0.1,84.98597756410255,0.505586116351112
0.99,0.5,88.66185897435896,0.24287571420236234
