Iterations,Accuracy (%),Attack,Aggregator,Momentum,LR,seed
120,37.11939102564103,BF,RFA,0.9,0.005,256
150,39.42307692307692,BF,RFA,0.9,0.005,256
180,41.49639423076923,BF,RFA,0.9,0.005,256
210,43.36939102564103,BF,RFA,0.9,0.005,256
240,44.85176282051282,BF,RFA,0.9,0.005,256
270,46.173878205128204,BF,RFA,0.9,0.005,256
300,47.40584935897436,BF,RFA,0.9,0.005,256
330,48.16706730769231,BF,RFA,0.9,0.005,256
360,49.04847756410256,BF,RFA,0.9,0.005,256
390,49.689503205128204,BF,RFA,0.9,0.005,256
420,50.22035256410256,BF,RFA,0.9,0.005,256
450,50.79126602564103,BF,RFA,0.9,0.005,256
480,51.452323717948715,BF,RFA,0.9,0.005,256
510,51.842948717948715,BF,RFA,0.9,0.005,256
540,52.34375,BF,RFA,0.9,0.005,256
570,52.52403846153846,BF,RFA,0.9,0.005,256
600,52.82451923076923,BF,RFA,0.9,0.005,256
30,36.16786858974359,BF,RFA,0.3,0.01,42
60,43.58974358974359,BF,RFA,0.3,0.01,42
90,48.55769230769231,BF,RFA,0.3,0.01,42
120,50.54086538461539,BF,RFA,0.3,0.01,42
150,52.243589743589745,BF,RFA,0.3,0.01,42
180,53.50560897435897,BF,RFA,0.3,0.01,42
210,53.93629807692308,BF,RFA,0.3,0.01,42
240,54.20673076923077,BF,RFA,0.3,0.01,42
270,54.38701923076923,BF,RFA,0.3,0.01,42
300,54.69751602564103,BF,RFA,0.3,0.01,42
330,55.19831730769231,BF,RFA,0.3,0.01,42
360,55.548878205128204,BF,RFA,0.3,0.01,42
390,55.66907051282051,BF,RFA,0.3,0.01,42
420,55.88942307692308,BF,RFA,0.3,0.01,42
450,56.10977564102564,BF,RFA,0.3,0.01,42
480,56.380208333333336,BF,RFA,0.3,0.01,42
510,56.55048076923077,BF,RFA,0.3,0.01,42
540,56.73076923076923,BF,RFA,0.3,0.01,42
570,57.04126602564103,BF,RFA,0.3,0.01,42
600,57.28165064102564,BF,RFA,0.3,0.01,42
30,65.3145032051282,BF,RFA,0.9,0.05,0
60,62.59014423076923,BF,RFA,0.9,0.05,0
90,66.21594551282051,BF,RFA,0.9,0.05,0
120,70.50280448717949,BF,RFA,0.9,0.05,0
150,74.65945512820512,BF,RFA,0.9,0.05,0
180,79.15665064102564,BF,RFA,0.9,0.05,0
210,73.5176282051282,BF,RFA,0.9,0.05,0
240,75.59094551282051,BF,RFA,0.9,0.05,0
270,77.08333333333333,BF,RFA,0.9,0.05,0
300,77.6542467948718,BF,RFA,0.9,0.05,0
330,78.6358173076923,BF,RFA,0.9,0.05,0
360,79.22676282051282,BF,RFA,0.9,0.05,0
390,79.65745192307692,BF,RFA,0.9,0.05,0
420,79.97796474358974,BF,RFA,0.9,0.05,0
450,80.40865384615384,BF,RFA,0.9,0.05,0
480,80.80929487179488,BF,RFA,0.9,0.05,0
510,81.28004807692308,BF,RFA,0.9,0.05,0
540,81.48036858974359,BF,RFA,0.9,0.05,0
570,81.27003205128206,BF,RFA,0.9,0.05,0
600,81.70072115384616,BF,RFA,0.9,0.05,0
30,19.21073717948718,BF,RFA,0.0,0.005,42
60,29.977964743589745,BF,RFA,0.0,0.005,42
90,35.59695512820513,BF,RFA,0.0,0.005,42
120,38.82211538461539,BF,RFA,0.0,0.005,42
150,40.77524038461539,BF,RFA,0.0,0.005,42
180,42.96875,BF,RFA,0.0,0.005,42
210,44.65144230769231,BF,RFA,0.0,0.005,42
240,46.15384615384615,BF,RFA,0.0,0.005,42
270,47.395833333333336,BF,RFA,0.0,0.005,42
300,48.60777243589744,BF,RFA,0.0,0.005,42
330,49.61939102564103,BF,RFA,0.0,0.005,42
360,50.48076923076923,BF,RFA,0.0,0.005,42
390,51.01161858974359,BF,RFA,0.0,0.005,42
420,51.44230769230769,BF,RFA,0.0,0.005,42
450,51.92307692307692,BF,RFA,0.0,0.005,42
480,52.263621794871796,BF,RFA,0.0,0.005,42
510,52.604166666666664,BF,RFA,0.0,0.005,42
540,52.7744391025641,BF,RFA,0.0,0.005,42
570,52.88461538461539,BF,RFA,0.0,0.005,42
600,53.14503205128205,BF,RFA,0.0,0.005,42
30,5.438701923076923,BF,RFA,0.5,0.001,42
60,4.537259615384615,BF,RFA,0.5,0.001,42
90,4.2868589743589745,BF,RFA,0.5,0.001,42
120,4.717548076923077,BF,RFA,0.5,0.001,42
150,5.659054487179487,BF,RFA,0.5,0.001,42
180,6.820913461538462,BF,RFA,0.5,0.001,42
210,8.11298076923077,BF,RFA,0.5,0.001,42
240,9.425080128205128,BF,RFA,0.5,0.001,42
270,10.506810897435898,BF,RFA,0.5,0.001,42
300,11.688701923076923,BF,RFA,0.5,0.001,42
330,12.690304487179487,BF,RFA,0.5,0.001,42
360,14.082532051282051,BF,RFA,0.5,0.001,42
390,14.873798076923077,BF,RFA,0.5,0.001,42
420,15.745192307692308,BF,RFA,0.5,0.001,42
450,16.49639423076923,BF,RFA,0.5,0.001,42
480,17.09735576923077,BF,RFA,0.5,0.001,42
510,17.918669871794872,BF,RFA,0.5,0.001,42
540,18.760016025641026,BF,RFA,0.5,0.001,42
570,19.431089743589745,BF,RFA,0.5,0.001,42
600,20.052083333333332,BF,RFA,0.5,0.001,42
30,66.4863782051282,BF,RFA,0.7,0.05,0
60,62.760416666666664,BF,RFA,0.7,0.05,0
90,65.86538461538461,BF,RFA,0.7,0.05,0
